mention_id,mention,sentence,predictions,scores
11157348-1,basic zinc acetate,"Often in technical literature , naphthenates are described as salts , but they are probably also non-ionic coordination complexes with structures similar to basic zinc acetate .","['/drug', '/chemical_thing']","[0.6000228524, 0.9950904846]"
18009985-0,Diamond,"Diamond 's primary interests are in the mechanisms of central and peripheral tolerance of autoreactive B cells , and the defects in these mechanisms that are present in autoimmune disease , as well as the role of antibodies in brain disease .",['/person'],[0.6959960461]
18009985-1,B cells,"Diamond 's primary interests are in the mechanisms of central and peripheral tolerance of autoreactive B cells , and the defects in these mechanisms that are present in autoimmune disease , as well as the role of antibodies in brain disease .",['/body_part'],[0.8987673521]
18009985-2,autoimmune disease,"Diamond 's primary interests are in the mechanisms of central and peripheral tolerance of autoreactive B cells , and the defects in these mechanisms that are present in autoimmune disease , as well as the role of antibodies in brain disease .",['/disease'],[0.9870393872]
18009985-3,brain disease,"Diamond 's primary interests are in the mechanisms of central and peripheral tolerance of autoreactive B cells , and the defects in these mechanisms that are present in autoimmune disease , as well as the role of antibodies in brain disease .",['/disease'],[0.9873556495]
20493-0,Polish -- Soviet War,"During the Polish -- Soviet War Działdowo was briefly occupied by the Red Army which was cheered as liberators by the local German populace , which hoisted the German flag , but it was soon recovered by the Polish Army .","['/event/military_conflict', '/event']","[0.9985704422, 0.9966045618]"
20493-1,Działdowo,"During the Polish -- Soviet War Działdowo was briefly occupied by the Red Army which was cheered as liberators by the local German populace , which hoisted the German flag , but it was soon recovered by the Polish Army .","['/location', '/location/city']","[0.9098108411, 0.8213487267]"
20493-2,Red Army,"During the Polish -- Soviet War Działdowo was briefly occupied by the Red Army which was cheered as liberators by the local German populace , which hoisted the German flag , but it was soon recovered by the Polish Army .","['/organization', '/organization/military']","[0.9277772307, 0.9637224078]"
20493-3,Polish Army,"During the Polish -- Soviet War Działdowo was briefly occupied by the Red Army which was cheered as liberators by the local German populace , which hoisted the German flag , but it was soon recovered by the Polish Army .","['/organization', '/organization/military']","[0.9212200046, 0.9750069976]"
22876885-0,Sega,"This meant that Sega 's other upcoming game , "" "" , would be pushed back so "" Aliens vs. Predator "" could be released first .","['/person', '/organization', '/person/artist', '/person/engineer', '/organization/company']","[0.7047766447, 0.7219059467, 0.6065263152, 0.6892795563, 0.7769004703]"
22876885-1,Aliens vs. Predator,"This meant that Sega 's other upcoming game , "" "" , would be pushed back so "" Aliens vs. Predator "" could be released first .",['/art'],[0.5718182325]
89510-0,Playmakers Theatre,"In 2006 , the university began a renovation of Playmakers Theatre , which has included an exterior paint job and interior remodeling .","['/building', '/location']","[0.7885714173, 0.6782260537]"
13319203-0,Bustros Palace,"Bustros Palace is a palace on Rue Sursock in the Achrafieh area of Beirut , Lebanon .","['/building', '/location']","[0.8530967832, 0.974815011]"
13319203-1,Rue Sursock,"Bustros Palace is a palace on Rue Sursock in the Achrafieh area of Beirut , Lebanon .",['/location'],[0.9922582507]
13319203-2,Achrafieh,"Bustros Palace is a palace on Rue Sursock in the Achrafieh area of Beirut , Lebanon .","['/location', '/location/city']","[0.9998861551, 0.9651665688]"
13319203-3,Beirut,"Bustros Palace is a palace on Rue Sursock in the Achrafieh area of Beirut , Lebanon .","['/location', '/location/city']","[0.999936223, 0.9960630536]"
13319203-4,Lebanon,"Bustros Palace is a palace on Rue Sursock in the Achrafieh area of Beirut , Lebanon .","['/location', '/location/country']","[0.9996663332, 0.8354629874]"
902934-0,Naguabo,"The hurricane dropped torrential rainfall , peaking at at Naguabo in the central portion of the island .","['/location', '/location/city']","[0.999366343, 0.9502640367]"
33284194-0,Time,"For example , in February 1936 an unnamed reporter for the newsweekly "" Time "" referred to Thompson , Nancy Cook , and Marion Dickerman , all of whom lived at various times at Val - Kill , as members of the First Lady 's "" troupe of handmaidens . ""","['/art/written_work', '/art', '/organization/news_agency']","[0.899536252, 0.9416409135, 0.6398828626]"
33284194-1,Thompson,"For example , in February 1936 an unnamed reporter for the newsweekly "" Time "" referred to Thompson , Nancy Cook , and Marion Dickerman , all of whom lived at various times at Val - Kill , as members of the First Lady 's "" troupe of handmaidens . ""","['/person', '/person/author']","[0.975312233, 0.513107717]"
33284194-2,Nancy Cook,"For example , in February 1936 an unnamed reporter for the newsweekly "" Time "" referred to Thompson , Nancy Cook , and Marion Dickerman , all of whom lived at various times at Val - Kill , as members of the First Lady 's "" troupe of handmaidens . ""","['/person', '/person/author']","[0.9670276642, 0.5045061707]"
33284194-3,Marion Dickerman,"For example , in February 1936 an unnamed reporter for the newsweekly "" Time "" referred to Thompson , Nancy Cook , and Marion Dickerman , all of whom lived at various times at Val - Kill , as members of the First Lady 's "" troupe of handmaidens . """,['/person'],[0.9733768106]
33284194-4,Val - Kill,"For example , in February 1936 an unnamed reporter for the newsweekly "" Time "" referred to Thompson , Nancy Cook , and Marion Dickerman , all of whom lived at various times at Val - Kill , as members of the First Lady 's "" troupe of handmaidens . """,['/location'],[0.1809690595]
33284194-5,First Lady,"For example , in February 1936 an unnamed reporter for the newsweekly "" Time "" referred to Thompson , Nancy Cook , and Marion Dickerman , all of whom lived at various times at Val - Kill , as members of the First Lady 's "" troupe of handmaidens . """,['/organization'],[0.555200994]
7077627-0,Metis,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .",['/location'],[0.7117624879]
7077627-1,Adrastea,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .","['/location', '/location/astral_body']","[0.8839396238, 0.5375606418]"
7077627-2,Jupiter,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .","['/location', '/location/province', '/location/astral_body']","[0.9898758531, 0.506298244, 0.9832262397]"
7077627-3,Uranus,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .","['/location', '/location/astral_body']","[0.9485272169, 0.9777598977]"
7077627-4,Neptune,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .","['/location', '/location/astral_body']","[0.9189345241, 0.9470505118]"
7077627-5,Perdita,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .",['/location/astral_body'],[0.5067872405]
7077627-6,Larissa,"The moons so affected are Metis and Adrastea at Jupiter , and the majority of the inner moons of Uranus and Neptune − out to and including Perdita and Larissa , respectively .","['/location', '/location/city']","[0.9958747029, 0.594201088]"
36489786-0,Alberta College of Art and Design,"He has taught and been a guest lecturer at the Alberta College of Art and Design , Mount Royal University and the University of Calgary .","['/organization', '/location', '/organization/educational_institution']","[0.90631181, 0.5461804271, 0.9627894163]"
36489786-1,Mount Royal University,"He has taught and been a guest lecturer at the Alberta College of Art and Design , Mount Royal University and the University of Calgary .","['/organization', '/location', '/organization/educational_institution']","[0.8339774609, 0.9303001761, 0.993812561]"
36489786-2,University of Calgary,"He has taught and been a guest lecturer at the Alberta College of Art and Design , Mount Royal University and the University of Calgary .","['/organization', '/location', '/organization/educational_institution']","[0.9585518241, 0.9455574155, 0.9979646206]"
10650879-0,Christmas Eve,"Additionally , the game was held on December 23 instead of the traditional annual date of December 24 ( Christmas Eve ) due to ESPN 's commitments to broadcast a "" Monday Night Football "" game between the Denver Broncos and the San Diego Chargers .",['/holiday_name'],[0.9778270125]
10650879-1,ESPN,"Additionally , the game was held on December 23 instead of the traditional annual date of December 24 ( Christmas Eve ) due to ESPN 's commitments to broadcast a "" Monday Night Football "" game between the Denver Broncos and the San Diego Chargers .","['/person', '/organization', '/broadcast_network', '/organization/news_agency', '/organization/company']","[0.897831738, 0.9301962852, 0.8542581797, 0.8031148911, 0.9181842804]"
10650879-2,Monday Night Football,"Additionally , the game was held on December 23 instead of the traditional annual date of December 24 ( Christmas Eve ) due to ESPN 's commitments to broadcast a "" Monday Night Football "" game between the Denver Broncos and the San Diego Chargers .",['/broadcast_program'],[0.654060185]
10650879-3,Denver Broncos,"Additionally , the game was held on December 23 instead of the traditional annual date of December 24 ( Christmas Eve ) due to ESPN 's commitments to broadcast a "" Monday Night Football "" game between the Denver Broncos and the San Diego Chargers .","['/organization', '/organization/sports_team']","[0.9013941288, 0.9537394047]"
10650879-4,San Diego Chargers,"Additionally , the game was held on December 23 instead of the traditional annual date of December 24 ( Christmas Eve ) due to ESPN 's commitments to broadcast a "" Monday Night Football "" game between the Denver Broncos and the San Diego Chargers .","['/organization', '/organization/sports_team']","[0.6990631819, 0.9773518443]"
43343370-0,Haller,Haller was promoted by emperor Franz Joseph as ban on 16 June 1842 and was later promoted to lieutenant general .,['/person'],[0.9844707251]
43343370-1,emperor,Haller was promoted by emperor Franz Joseph as ban on 16 June 1842 and was later promoted to lieutenant general .,['/title'],[0.8183625937]
43343370-2,Franz Joseph,Haller was promoted by emperor Franz Joseph as ban on 16 June 1842 and was later promoted to lieutenant general .,"['/person', '/person/politician']","[0.9867114425, 0.5519613624]"
43343370-3,lieutenant general,Haller was promoted by emperor Franz Joseph as ban on 16 June 1842 and was later promoted to lieutenant general .,['/title'],[0.9516382217]
12110855-0,Jean Langlais,"That same year he , together with Jean Langlais and Jean - Jacques Grunenwald , gave the first performance of Olivier Messiaen 's "" La Nativité du Seigneur "" .",['/person'],[0.9949538112]
12110855-1,Jean - Jacques Grunenwald,"That same year he , together with Jean Langlais and Jean - Jacques Grunenwald , gave the first performance of Olivier Messiaen 's "" La Nativité du Seigneur "" .",['/person'],[0.994081676]
12110855-2,Olivier Messiaen,"That same year he , together with Jean Langlais and Jean - Jacques Grunenwald , gave the first performance of Olivier Messiaen 's "" La Nativité du Seigneur "" .","['/person', '/person/musician', '/person/artist', '/person/author']","[0.9947659969, 0.9832630157, 0.9821225405, 0.9594669342]"
12110855-3,La Nativité du Seigneur,"That same year he , together with Jean Langlais and Jean - Jacques Grunenwald , gave the first performance of Olivier Messiaen 's "" La Nativité du Seigneur "" .",['/art'],[0.7217525244]
2118070-0,Hurricane Sandy,"Hurricane Sandy brought another destructive storm surge to New York City on the evening of October 29 , 2012 , flooding numerous streets , tunnels and subway lines in Lower Manhattan and other areas of the city and cutting off electricity in many parts of the city and its suburbs .","['/event/natural_disaster', '/event']","[0.9701827168, 0.8865959048]"
2118070-1,New York City,"Hurricane Sandy brought another destructive storm surge to New York City on the evening of October 29 , 2012 , flooding numerous streets , tunnels and subway lines in Lower Manhattan and other areas of the city and cutting off electricity in many parts of the city and its suburbs .","['/location', '/location/city']","[0.9963877201, 0.9466069341]"
2118070-2,Lower Manhattan,"Hurricane Sandy brought another destructive storm surge to New York City on the evening of October 29 , 2012 , flooding numerous streets , tunnels and subway lines in Lower Manhattan and other areas of the city and cutting off electricity in many parts of the city and its suburbs .",['/location'],[0.9903657436]
31701494-0,bin Laden,It is also said that bin Laden lived a very simple life .,"['/person', '/person/author', '/person/terrorist']","[0.9717735648, 0.6457893252, 0.8607659936]"
41971563-0,MidBoss,"However , MidBoss announced a Linux version in a later Kickstarter update , nonetheless .","['/organization', '/organization/company']","[0.8276354074, 0.597740829]"
41971563-1,Linux,"However , MidBoss announced a Linux version in a later Kickstarter update , nonetheless .","['/product', '/product/software']","[0.8204753995, 0.9560204148]"
41971563-2,Kickstarter,"However , MidBoss announced a Linux version in a later Kickstarter update , nonetheless .",['/product'],[0.4597330987]
1010729-0,common cold,"Common causes include infections ( from minor ones such as the common cold to dangerous ones such as HIV/AIDS ) , autoimmune diseases , and cancers .",['/disease'],[0.857181251]
1010729-1,HIV/AIDS,"Common causes include infections ( from minor ones such as the common cold to dangerous ones such as HIV/AIDS ) , autoimmune diseases , and cancers .",['/disease'],[0.4869543016]
1010729-2,autoimmune diseases,"Common causes include infections ( from minor ones such as the common cold to dangerous ones such as HIV/AIDS ) , autoimmune diseases , and cancers .",['/disease'],[0.9581733942]
1010729-3,cancers,"Common causes include infections ( from minor ones such as the common cold to dangerous ones such as HIV/AIDS ) , autoimmune diseases , and cancers .",['/disease'],[0.9905866981]
632189-0,Ruffian,"Ruffian ( April 17 , 1972 -- July 7 , 1975 ) was an American champion thoroughbred racehorse who won 10 consecutive races , usually by wide margins .",['/person'],[0.8466278315]
632189-1,thoroughbred racehorse,"Ruffian ( April 17 , 1972 -- July 7 , 1975 ) was an American champion thoroughbred racehorse who won 10 consecutive races , usually by wide margins .",['/living_thing'],[0.2841833532]
30439541-0,NSDAP,"Each settlement was to be planned in advance ( Soviet villages emptied of their previous inhabitants were to be destroyed ) and was to comprise 30 -- 40 farms , each 121.5 hectares ( 300 acres ) ; a NSDAP party headquarters ; a manor - house for the SS or party leader ; an agricultural instruction center ; a house for a community nurse ; and a cinema .",['/organization'],[0.8925009966]
30439541-1,SS,"Each settlement was to be planned in advance ( Soviet villages emptied of their previous inhabitants were to be destroyed ) and was to comprise 30 -- 40 farms , each 121.5 hectares ( 300 acres ) ; a NSDAP party headquarters ; a manor - house for the SS or party leader ; an agricultural instruction center ; a house for a community nurse ; and a cinema .","['/organization', '/organization/military']","[0.7010971308, 0.7260767221]"
71070-0,White Peak,"The dales of the White Peak are known for habitats such as calcareous grassland , ash woodlands and rock outcrops in all of which a much greater richness of lime - loving species occurs than elsewhere in the county .","['/location', '/location/mountain']","[0.9860708117, 0.9124381542]"
18952975-0,Atacama Desert,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .",['/location'],[0.9984408021]
18952975-1,copper,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .","['/drug', '/chemical_thing']","[0.5356661081, 0.9609409571]"
18952975-2,gold,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .","['/drug', '/chemical_thing']","[0.7064750195, 0.9559482932]"
18952975-3,silver,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .","['/drug', '/chemical_thing']","[0.6719267964, 0.9668055177]"
18952975-4,iron,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .","['/drug', '/chemical_thing']","[0.8482183218, 0.9851668477]"
18952975-5,boron,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .",['/chemical_thing'],[0.9933490157]
18952975-6,lithium,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .","['/drug', '/chemical_thing']","[0.7028371096, 0.9972418547]"
18952975-7,sodium nitrate,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .",['/chemical_thing'],[0.9953606725]
18952975-8,potassium,"The Atacama Desert is rich in metallic mineral resources such as copper , gold , silver and iron as well as non metallic minerals including important deposits of boron , lithium , sodium nitrate and potassium salts .","['/drug', '/chemical_thing']","[0.9120801091, 0.9996722937]"
6294933-0,Barcelona,"In Barcelona too , Barcelona Cathedral construction started in 1298 , but its dome and central tower only was finished in 1913 : 615 years .","['/location', '/location/city']","[0.9832826853, 0.9224270582]"
6294933-1,Barcelona Cathedral,"In Barcelona too , Barcelona Cathedral construction started in 1298 , but its dome and central tower only was finished in 1913 : 615 years .","['/building', '/location']","[0.7693970203, 0.9551825523]"
7439361-0,Hemis festival,The annual Hemis festival honoring Padmasambhava is held here in early June .,"['/holiday_name', '/event']","[0.536493659, 0.7131129503]"
7439361-1,Padmasambhava,The annual Hemis festival honoring Padmasambhava is held here in early June .,['/person'],[0.47104159]
1133403-0,Bergen,"Bergen wrote that even if al - Qaeda is not as organised as the Bush administration stressed , it is still a very dangerous force due to the fanaticism of its followers and the resources available to bin Laden .","['/person', '/person/author']","[0.8703235984, 0.5684401393]"
1133403-1,al - Qaeda,"Bergen wrote that even if al - Qaeda is not as organised as the Bush administration stressed , it is still a very dangerous force due to the fanaticism of its followers and the resources available to bin Laden .","['/organization', '/organization/terrorist_organization']","[0.8359991908, 0.6699871421]"
1133403-2,Bush,"Bergen wrote that even if al - Qaeda is not as organised as the Bush administration stressed , it is still a very dangerous force due to the fanaticism of its followers and the resources available to bin Laden .","['/person', '/person/actor', '/person/politician', '/person/author']","[0.9841737747, 0.5858319998, 0.7789031267, 0.9426675439]"
1133403-3,bin Laden,"Bergen wrote that even if al - Qaeda is not as organised as the Bush administration stressed , it is still a very dangerous force due to the fanaticism of its followers and the resources available to bin Laden .","['/person', '/person/author', '/person/terrorist']","[0.9626551867, 0.6684395075, 0.9638637304]"
1665094-0,Melissa,"Melissa instead voiced Sabrina 's two aunts , Hilda and Zelda , originally played by Beth Broderick and Caroline Rhea .","['/person', '/person/actor', '/person/artist']","[0.9796152711, 0.7739464045, 0.5513917804]"
1665094-1,Sabrina,"Melissa instead voiced Sabrina 's two aunts , Hilda and Zelda , originally played by Beth Broderick and Caroline Rhea .","['/person', '/fictional_character']","[0.5215138197, 0.9339592457]"
1665094-2,Hilda,"Melissa instead voiced Sabrina 's two aunts , Hilda and Zelda , originally played by Beth Broderick and Caroline Rhea .",['/person'],[0.6235393286]
1665094-3,Zelda,"Melissa instead voiced Sabrina 's two aunts , Hilda and Zelda , originally played by Beth Broderick and Caroline Rhea .",['/fictional_character'],[0.9090636969]
1665094-4,Beth Broderick,"Melissa instead voiced Sabrina 's two aunts , Hilda and Zelda , originally played by Beth Broderick and Caroline Rhea .","['/person', '/person/actor']","[0.9599739909, 0.7879852653]"
1665094-5,Caroline Rhea,"Melissa instead voiced Sabrina 's two aunts , Hilda and Zelda , originally played by Beth Broderick and Caroline Rhea .",['/person'],[0.9302092195]
4641059-0,Downhill Jam,"The version of "" Downhill Jam "" for Wii was developed by Toys For Bob , developer of "" Disney 's Extreme Skate Adventure "" and the game adaptation of "" Madagascar "" .",['/art'],[0.5053322315]
4641059-1,Wii,"The version of "" Downhill Jam "" for Wii was developed by Toys For Bob , developer of "" Disney 's Extreme Skate Adventure "" and the game adaptation of "" Madagascar "" .","['/product', '/product/software', '/product/computer']","[0.9469312429, 0.8072848916, 0.7125704288]"
4641059-2,Toys For Bob,"The version of "" Downhill Jam "" for Wii was developed by Toys For Bob , developer of "" Disney 's Extreme Skate Adventure "" and the game adaptation of "" Madagascar "" .",['/person'],[0.5025755167]
4641059-3,Disney 's Extreme Skate Adventure,"The version of "" Downhill Jam "" for Wii was developed by Toys For Bob , developer of "" Disney 's Extreme Skate Adventure "" and the game adaptation of "" Madagascar "" .",['/product/game'],[0.7247802019]
4641059-4,Madagascar,"The version of "" Downhill Jam "" for Wii was developed by Toys For Bob , developer of "" Disney 's Extreme Skate Adventure "" and the game adaptation of "" Madagascar "" .",['/location'],[0.4448267221]
3929989-0,dogs,"In middle - aged and older dogs such as Dobermans , intervertebral disc disease leads to bulging of the disc or herniation of the disc contents , and the spinal cord is compressed .","['/living_thing', '/animal']","[0.9310207963, 0.8926945925]"
3929989-1,Dobermans,"In middle - aged and older dogs such as Dobermans , intervertebral disc disease leads to bulging of the disc or herniation of the disc contents , and the spinal cord is compressed .",['/living_thing'],[0.6979461312]
